Indiv,Sire,Dam,Sex,Breed,Born,BV
276000890759568,NA,NA,female,unbek0,NA,NA
276000810332898,276000810757652,276000802932190,female,Hinterwaelder,2000,0.300309157837578
276000814047503,276000810958214,276000813256534,male,Hinterwaelder,2008,0.38461036809249
276000811288156,276000810957933,276000810087193,female,Hinterwaelder,2001,0.535500413988587
276000802932486,NA,NA,female,Hinterwaelder,1985,-0.0124270414572185
276000891811103,276000808336829,276000811903577,female,Hinterwaelder,2004,-0.0279340953321182
276000811158216,276000810957896,276000811043932,female,Hinterwaelder,2001,0.376829989210341
276000890733481,NA,NA,female,unbek0,NA,NA
276000890888469,NA,276000810958946,female,Hinterwaelder,2006,0.661438585361772
276000802918444,276000802898580,276000802884582,male,Hinterwaelder,1986,-0.60664325967211
276000890767471,NA,NA,female,Hinterwaelder,1992,0.720297059466819
276000802930294,276000802918353,276000802918817,female,Hinterwaelder,1989,-0.561609448042829
276000811596604,276000810957844,276000802925028,male,Hinterwaelder,2000,-0.0404043799277703
276000811288085,276000810332921,276000810332863,female,Hinterwaelder,1999,0.405663139816898
276000891160479,NA,276000891160472,female,Hinterwaelder,2001,0.558788485422939
276000811209491,NA,276000808566746,female,Hinterwaelder,1999,0.80702789231928
276000811063904,NA,276000802884581,female,Hinterwaelder,1987,-0.315657602487445
276000890077325,NA,NA,female,Hinterwaelder,1993,1.02068635717599
276000812496771,276000808336829,276000810331425,female,Hinterwaelder,2003,0.459423558861428
276000891483631,276000810958209,276000890433206,female,Hinterwaelder,2002,0.896802624325819
276000813466981,276000812256009,276000890878475,female,Hinterwaelder,2006,0.99356238494479
276000892147965,NA,276000891582445,female,Hinterwaelder,2005,1.24046623729457
276000811157904,276000810332260,276000802947988,female,Hinterwaelder,1999,0.257586101379448
276000891895524,NA,276000811596267,female,Hinterwaelder,2006,1.02200562314591
276000892121045,NA,276000891922964,female,Hinterwaelder,2006,1.09402753859078
276000811595912,276000810748374,276000808591110,female,Hinterwaelder,2000,0.394899457966749
276000891885856,276000811903472,276000811287460,female,Hinterwaelder,2004,0.900830198167353
276000891193323,NA,NA,female,unbek0,NA,NA
276000812922251,276000810958214,276000811903557,female,Hinterwaelder,2004,0.398847578166385
276000813325786,276000812347378,276000811052972,female,Hinterwaelder,2006,0.804009610822705
276000892311572,NA,276000892062831,female,Hinterwaelder,2007,1.0969343029289
276000890195107,NA,NA,female,unbek0,NA,NA
276000813609409,276000812749534,276000810958944,female,Hinterwaelder,2007,0.321439153045985
276000890816946,NA,276000890816944,female,Hinterwaelder,1998,0.606986904006844
276000802940483,276000802918869,276000802925478,female,Hinterwaelder,1992,-0.201530082516994
276000802620597,NA,NA,female,Vorderwaelder,1949,-1.99588837429124
276000810958684,276000802938370,276000810332641,female,Hinterwaelder,1998,-0.120444339733212
276000891360576,NA,NA,female,unbek0,NA,NA
276000802932703,276000802925223,276000802898806,male,Hinterwaelder,1990,-0.947014421836471
276000811760293,276000811287689,276000811145936,female,Hinterwaelder,2001,0.434581535522497
276000813766162,276000812496847,276000813264775,female,Hinterwaelder,2007,0.131869700066729
276000802925760,NA,NA,female,Hinterwaelder,1987,0.217964335127885
276000813340572,276000812698734,276000812143098,female,Hinterwaelder,2006,1.03218921100825
276000803611304,276000803611248,276000802420298,male,Hinterwaelder,1969,-1.89435259113064
276000802922863,276000802938395,276000802908554,female,Hinterwaelder,1994,-0.345859814729965
276000890886103,NA,NA,female,unbek0,NA,NA
276000803611144,276000800000624,276000800003539,male,Hinterwaelder,1960,-2.76979673976544
276000813325780,276000812347378,276000812051260,female,Hinterwaelder,2005,0.983817435853634
276000808406675,276000802940658,276000802688212,female,Hinterwaelder,1995,0.0119499003661572
276000892141871,NA,276000891647171,female,Hinterwaelder,2005,1.394036490894
276000802918550,NA,NA,female,Hinterwaelder,1984,0.179014531471118
276000890551038,NA,NA,female,unbek0,NA,NA
276000810958176,276000802925405,276000802908698,female,Hinterwaelder,1998,0.174985554631453
276000890581910,NA,276000890111991,female,Hinterwaelder,1999,0.957090371137728
